
	ALL WATERSHED COMBINED

Y[i] ~ dbern(p[i])
    logit(p[i]) <- alpha[Watshed[i]] + 
      beta[1]* Agr[i] +
      beta[2] * Elv[i] +
      beta[3] * Area[i] +
      beta[4] * Slop[i] +
      beta[5] * s[i]
    
    # connectivity summed over j
    # subtract c[i,Segment_id[i]] from the sum; self-connection removal
    s[i] <- sum(c[i,]) - c[i, Segment_id[i]]
    
    # connectivity measure for a specific pair of i and j
    for(j in 1:N_site) {
      c[i,j] <- exp(u[i,j] + d[i,j])
      
      u[i,j] <- -alpha[1] * U[Segment_id[i], j]
      d[i,j] <- -alpha[2] * D[Segment_id[i], j]


                mean          sd          2.5%           50%      97.5% Rhat n.eff
s[191]    3.66279593  3.79399226  1.318191e+00  2.8808250000 10.1966175 1.13  1322
s[192]    3.36136913  4.92451363  1.112133e+00  2.4595100000 10.4044450 1.15  1326
s[193]    5.98331528  6.47456309  2.546148e+00  4.6673950000 16.2601225 1.12  1326
s[194]    4.83491911  6.84963746  1.207540e+00  3.3789100000 16.0553300 1.11  1331
s[195]    1.56122097  4.38347793  1.324900e-01  0.7278415000  7.4855560 1.16  1291
s[196]    8.94919471  9.45875858  4.317277e+00  6.9787750000 23.6196750 1.10  1285
s[197]    5.00875179  9.93541141  1.304886e+00  3.2598300000 17.5582450 1.14  1286
s[198]   10.36846663 10.72246397  4.875920e+00  8.6326850000 24.6961275 1.14  1306
s[199]    9.71756757 11.48347763  3.384192e+00  7.6656150000 26.0533175 1.13  1304
s[200]   11.02141173 12.16126608  4.699270e+00  8.8300500000 27.7803050 1.13  1298
s[201]    7.38992359 14.26764534  3.944332e+00  5.9205000000 16.0965550 1.22  1234
s[202]    2.22557799 15.98179747  1.531644e-01  0.9024395000  7.9256452 1.25  1217
s[203]    3.60372867 15.27943549  1.259666e+00  2.2636100000 10.0938450 1.24  1229
s[204]   12.20164435 11.79482640  6.733011e+00  9.9866250000 27.9907000 1.14  1292
s[205]    8.91020111 13.21802804  3.682892e+00  6.6394400000 25.3322125 1.15  1264
s[206]    0.36526327  0.28773337  9.352901e-02  0.2943205000  1.0411130 1.01  1500
s[207]    1.36494068  1.69348564  1.318673e-01  0.7918835000  5.7538000 1.00  1336
s[208]    2.79561259  2.86991590  1.463105e+00  2.3163500000  6.6242737 1.20  1418
s[209]    2.68201778  4.07314918  5.633556e-01  1.8368150000  9.6628972 1.13  1342
s[210]    3.07721500  4.90203167  8.198710e-01  2.1841000000 10.1043925 1.15  1326
